Day of Week, Hour Block, Avg. Visit Time (min), Num. Visitors, Num. Unique Visitors
Monday, 9-10AM, 100, 32, 29
Monday, 10-11AM, 101, 48, 45
Monday, 11AM-12PM, 110, 56, 49
Monday, 12-1PM, 124, 42, 39
Monday, 1-2PM, 112, 82, 76
Monday, 2-3PM, 105, 96, 87
Monday, 3-4PM, 127, 134, 115
Monday, 4-5PM, 129, 165, 147
Monday, 5-6PM, 142, 154, 135
Monday, 6-7PM, 139, 179, 150
Monday, 7-8PM, 133, 182, 151
Monday, 8-9PM, 125, 171, 150
Tuesday, 9-10AM, 119, 25, 24
Tuesday, 10-11AM, 132, 44, 40
Tuesday, 11AM-12PM, 125, 74, 58
Tuesday, 12-1PM, 141, 61, 47
Tuesday, 1-2PM, 129, 106, 88
Tuesday, 2-3PM, 127, 128, 110
Tuesday, 3-4PM, 118, 162, 144
Tuesday, 4-5PM, 128, 193, 173
Tuesday, 5-6PM, 132, 198, 179
Tuesday, 6-7PM, 134, 177, 153
Tuesday, 7-8PM, 130, 162, 140
Tuesday, 8-9PM, 129, 132, 116
Wednesday, 9-10AM, 103, 57, 50
Wednesday, 10-11AM, 108, 83, 64
Wednesday, 11AM-12PM, 136, 83, 67
Wednesday, 12-1PM, 187, 51, 42
Wednesday, 1-2PM, 125, 111, 79
Wednesday, 2-3PM, 139, 120, 99
Wednesday, 3-4PM, 139, 147, 124
Wednesday, 4-5PM, 134, 157, 133
Wednesday, 5-6PM, 142, 158, 138
Wednesday, 6-7PM, 139, 173, 153
Wednesday, 7-8PM, 130, 192, 164
Wednesday, 8-9PM, 117, 189, 143
Thursday, 9-10AM, 90, 39, 37
Thursday, 10-11AM, 98, 65, 57
Thursday, 11AM-12PM, 129, 68, 59
Thursday, 12-1PM, 149, 46, 42
Thursday, 1-2PM, 112, 103, 92
Thursday, 2-3PM, 116, 116, 100
Thursday, 3-4PM, 129, 148, 126
Thursday, 4-5PM, 130, 175, 153
Thursday, 5-6PM, 135, 160, 138
Thursday, 6-7PM, 129, 168, 151
Thursday, 7-8PM, 122, 166, 152
Thursday, 8-9PM, 132, 130, 122
Friday, 9-10AM, 90, 51, 46
Friday, 10-11AM, 94, 59, 51
Friday, 11AM-12PM, 113, 79, 69
Friday, 12-1PM, 141, 46, 42
Friday, 1-2PM, 128, 94, 80
Friday, 2-3PM, 123, 145, 114
Friday, 3-4PM, 145, 147, 131
Friday, 4-5PM, 139, 177, 154
Friday, 5-6PM, 151, 178, 151
Friday, 6-7PM, 144, 170, 141
Friday, 7-8PM, 141, 139, 119
Friday, 8-9PM, 136, 98, 84
Saturday, 9-10AM, 0, 0, 0
Saturday, 10-11AM, 122, 86, 75
Saturday, 11AM-12PM, 120, 151, 131
Saturday, 12-1PM, 135, 126, 114
Saturday, 1-2PM, 107, 168, 143
Saturday, 2-3PM, 108, 86, 85
Saturday, 3-4PM, 84, 37, 37
Saturday, 4-5PM, 84, 37, 37
Saturday, 5-6PM, 84, 37, 37
Saturday, 6-7PM, 84, 37, 37
Saturday, 7-8PM, 84, 37, 37
Saturday, 8-9PM, 84, 37, 37
Sunday, 9-10AM, 0, 0, 0
Sunday, 10-11AM, 0, 0, 0
Sunday, 11AM-12PM, 0, 0, 0
Sunday, 12-1PM, 0, 0, 0
Sunday, 1-2PM, 121, 155, 123
Sunday, 2-3PM, 119, 202, 157
Sunday, 3-4PM, 121, 208, 162
Sunday, 4-5PM, 121, 165, 130
Sunday, 5-6PM, 157, 15, 15
Sunday, 6-7PM, 0, 0, 0
Sunday, 7-8PM, 0, 0, 0
Sunday, 8-9PM, 0, 0, 0
