Month, Number of Unique Visitors, Average Visit Time, Total Time Spent By Visitors
1/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
2/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
3/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
4/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
5/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
6/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
7/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
8/2017, 0, 0 Minutes, 0 Days 0 Hours and 0 Minutes
9/2017, 73, 130 Minutes, 9 Days 14 Hours and 1 Minutes
10/2017, 226, 125 Minutes, 31 Days 10 Hours and 16 Minutes
11/2017, 293, 119 Minutes, 38 Days 16 Hours and 56 Minutes
12/2017, 201, 114 Minutes, 28 Days 17 Hours and 55 Minutes
